Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Price UP ($),Price DOWN ($),UP Bid,UP Ask,DOWN Bid,DOWN Ask,Entry Type,Watch Mode Entry,Paper Mode Entry,Notes
1767539853220,2026-01-04T15:17:33.220Z,2026,1,4,15,17,33,220,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539860636,2026-01-04T15:17:40.636Z,2026,1,4,15,17,40,636,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539863357,2026-01-04T15:17:43.357Z,2026,1,4,15,17,43,357,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539867189,2026-01-04T15:17:47.189Z,2026,1,4,15,17,47,189,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539885934,2026-01-04T15:18:05.934Z,2026,1,4,15,18,5,934,0.4100,0.5900,0.4000,0.4200,0.5800,0.6000,,,,
1767539888951,2026-01-04T15:18:08.951Z,2026,1,4,15,18,8,951,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539897043,2026-01-04T15:18:17.043Z,2026,1,4,15,18,17,43,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539897211,2026-01-04T15:18:17.211Z,2026,1,4,15,18,17,211,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539897212,2026-01-04T15:18:17.212Z,2026,1,4,15,18,17,212,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539897218,2026-01-04T15:18:17.218Z,2026,1,4,15,18,17,218,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539898691,2026-01-04T15:18:18.691Z,2026,1,4,15,18,18,691,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539899081,2026-01-04T15:18:19.081Z,2026,1,4,15,18,19,81,0.3800,0.6200,0.3700,0.3900,0.6100,0.6300,,,,
1767539899153,2026-01-04T15:18:19.153Z,2026,1,4,15,18,19,153,0.3750,0.6250,0.3700,0.3800,0.6200,0.6300,,,,
1767539899859,2026-01-04T15:18:19.859Z,2026,1,4,15,18,19,859,0.3600,0.6400,0.3500,0.3700,0.6300,0.6500,,,,
1767539904058,2026-01-04T15:18:24.058Z,2026,1,4,15,18,24,58,0.3650,0.6350,0.3500,0.3800,0.6200,0.6500,,,,
1767539904626,2026-01-04T15:18:24.626Z,2026,1,4,15,18,24,626,0.3600,0.6400,0.3500,0.3700,0.6300,0.6500,,,,
1767539905817,2026-01-04T15:18:25.817Z,2026,1,4,15,18,25,817,0.3550,0.6450,0.3500,0.3600,0.6400,0.6500,,,,
1767539907461,2026-01-04T15:18:27.461Z,2026,1,4,15,18,27,461,0.3350,0.6650,0.3200,0.3500,0.6500,0.6800,,,,
1767539908606,2026-01-04T15:18:28.606Z,2026,1,4,15,18,28,606,0.3400,0.6600,0.3300,0.3500,0.6500,0.6700,,,,
1767539908638,2026-01-04T15:18:28.638Z,2026,1,4,15,18,28,638,0.3350,0.6650,0.3300,0.3400,0.6600,0.6700,,,,
1767539910058,2026-01-04T15:18:30.058Z,2026,1,4,15,18,30,58,0.3450,0.6550,0.3400,0.3500,0.6500,0.6600,,,,
1767539910646,2026-01-04T15:18:30.646Z,2026,1,4,15,18,30,646,0.3400,0.6600,0.3300,0.3500,0.6500,0.6700,,,,
1767539912015,2026-01-04T15:18:32.015Z,2026,1,4,15,18,32,15,0.3350,0.6650,0.3300,0.3400,0.6600,0.6700,,,,
1767539913049,2026-01-04T15:18:33.049Z,2026,1,4,15,18,33,49,0.3300,0.6700,0.3200,0.3400,0.6600,0.6800,,,,
1767539913384,2026-01-04T15:18:33.384Z,2026,1,4,15,18,33,384,0.3250,0.6750,0.3200,0.3300,0.6700,0.6800,,,,
1767539916709,2026-01-04T15:18:36.709Z,2026,1,4,15,18,36,709,0.3400,0.6600,0.3300,0.3500,0.6500,0.6700,,,,
1767539918643,2026-01-04T15:18:38.643Z,2026,1,4,15,18,38,643,0.3350,0.6650,0.3300,0.3400,0.6600,0.6700,,,,
1767539921712,2026-01-04T15:18:41.712Z,2026,1,4,15,18,41,712,0.3300,0.6700,0.3200,0.3400,0.6600,0.6800,,,,
1767539921877,2026-01-04T15:18:41.877Z,2026,1,4,15,18,41,877,0.3350,0.6650,0.3200,0.3500,0.6500,0.6800,,,,
1767539922485,2026-01-04T15:18:42.485Z,2026,1,4,15,18,42,485,0.3300,0.6700,0.3200,0.3400,0.6600,0.6800,,,,
1767539922949,2026-01-04T15:18:42.949Z,2026,1,4,15,18,42,949,0.3400,0.6600,0.3200,0.3600,0.6400,0.6800,,,,
