Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Price UP ($),Price DOWN ($),UP Bid,UP Ask,DOWN Bid,DOWN Ask,Entry Type,Watch Mode Entry,Paper Mode Entry,Notes
1767539853261,2026-01-04T15:17:33.261Z,2026,1,4,15,17,33,261,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539853508,2026-01-04T15:17:33.508Z,2026,1,4,15,17,33,508,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539854785,2026-01-04T15:17:34.785Z,2026,1,4,15,17,34,785,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539855504,2026-01-04T15:17:35.504Z,2026,1,4,15,17,35,504,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539856395,2026-01-04T15:17:36.395Z,2026,1,4,15,17,36,395,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539859858,2026-01-04T15:17:39.858Z,2026,1,4,15,17,39,858,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539860630,2026-01-04T15:17:40.630Z,2026,1,4,15,17,40,630,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539862416,2026-01-04T15:17:42.416Z,2026,1,4,15,17,42,416,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539863167,2026-01-04T15:17:43.167Z,2026,1,4,15,17,43,167,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539863893,2026-01-04T15:17:43.893Z,2026,1,4,15,17,43,893,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539864688,2026-01-04T15:17:44.688Z,2026,1,4,15,17,44,688,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539865403,2026-01-04T15:17:45.403Z,2026,1,4,15,17,45,403,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539868509,2026-01-04T15:17:48.509Z,2026,1,4,15,17,48,509,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539870513,2026-01-04T15:17:50.513Z,2026,1,4,15,17,50,513,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539871275,2026-01-04T15:17:51.275Z,2026,1,4,15,17,51,275,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539872398,2026-01-04T15:17:52.398Z,2026,1,4,15,17,52,398,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539873630,2026-01-04T15:17:53.630Z,2026,1,4,15,17,53,630,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539874413,2026-01-04T15:17:54.413Z,2026,1,4,15,17,54,413,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539877187,2026-01-04T15:17:57.187Z,2026,1,4,15,17,57,187,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539877599,2026-01-04T15:17:57.599Z,2026,1,4,15,17,57,599,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539878224,2026-01-04T15:17:58.224Z,2026,1,4,15,17,58,224,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539879117,2026-01-04T15:17:59.117Z,2026,1,4,15,17,59,117,0.5350,0.4650,0.5200,0.5500,0.4500,0.4800,,,,
1767539879188,2026-01-04T15:17:59.188Z,2026,1,4,15,17,59,188,0.5300,0.4700,0.5200,0.5400,0.4600,0.4800,,,,
1767539880105,2026-01-04T15:18:00.105Z,2026,1,4,15,18,0,105,0.5250,0.4750,0.5200,0.5300,0.4700,0.4800,,,,
1767539880485,2026-01-04T15:18:00.485Z,2026,1,4,15,18,0,485,0.5300,0.4700,0.5200,0.5400,0.4600,0.4800,,,,
1767539880497,2026-01-04T15:18:00.497Z,2026,1,4,15,18,0,497,0.5250,0.4750,0.5200,0.5300,0.4700,0.4800,,,,
1767539881007,2026-01-04T15:18:01.007Z,2026,1,4,15,18,1,7,0.5150,0.4850,0.5000,0.5300,0.4700,0.5000,,,,
1767539881024,2026-01-04T15:18:01.024Z,2026,1,4,15,18,1,24,0.5100,0.4900,0.5000,0.5200,0.4800,0.5000,,,,
1767539881044,2026-01-04T15:18:01.044Z,2026,1,4,15,18,1,44,0.5050,0.4950,0.4900,0.5200,0.4800,0.5100,,,,
1767539881058,2026-01-04T15:18:01.058Z,2026,1,4,15,18,1,58,0.5100,0.4900,0.4900,0.5300,0.4700,0.5100,,,,
1767539881110,2026-01-04T15:18:01.110Z,2026,1,4,15,18,1,110,0.5050,0.4950,0.4900,0.5200,0.4800,0.5100,,,,
1767539882374,2026-01-04T15:18:02.374Z,2026,1,4,15,18,2,374,0.5100,0.4900,0.5000,0.5200,0.4800,0.5000,,,,
1767539882494,2026-01-04T15:18:02.494Z,2026,1,4,15,18,2,494,0.5150,0.4850,0.5000,0.5300,0.4700,0.5000,,,,
1767539882541,2026-01-04T15:18:02.541Z,2026,1,4,15,18,2,541,0.5200,0.4800,0.5100,0.5300,0.4700,0.4900,,,,
1767539882635,2026-01-04T15:18:02.635Z,2026,1,4,15,18,2,635,0.5250,0.4750,0.5200,0.5300,0.4700,0.4800,,,,
1767539882818,2026-01-04T15:18:02.818Z,2026,1,4,15,18,2,818,0.5300,0.4700,0.5200,0.5400,0.4600,0.4800,,,,
1767539884355,2026-01-04T15:18:04.355Z,2026,1,4,15,18,4,355,0.5350,0.4650,0.5300,0.5400,0.4600,0.4700,,,,
1767539884371,2026-01-04T15:18:04.371Z,2026,1,4,15,18,4,371,0.5400,0.4600,0.5300,0.5500,0.4500,0.4700,,,,
1767539885919,2026-01-04T15:18:05.919Z,2026,1,4,15,18,5,919,0.5450,0.4550,0.5400,0.5500,0.4500,0.4600,,,,
