Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Price UP ($),Price DOWN ($),UP Bid,UP Ask,DOWN Bid,DOWN Ask,Entry Type,Watch Mode Entry,Paper Mode Entry,Notes
1767615002565,2026-01-05T12:10:02.565Z,2026,1,5,12,10,2,565,0.2150,0.7850,0.2100,0.2200,0.7800,0.7900,,,,
1767615002616,2026-01-05T12:10:02.616Z,2026,1,5,12,10,2,616,0.2100,0.7900,0.2000,0.2200,0.7800,0.8000,,,,
1767615002736,2026-01-05T12:10:02.736Z,2026,1,5,12,10,2,736,0.2050,0.7950,0.2000,0.2100,0.7900,0.8000,,,,
1767615002906,2026-01-05T12:10:02.906Z,2026,1,5,12,10,2,906,0.1950,0.8050,0.1800,0.2100,0.7900,0.8200,,,,
1767615002919,2026-01-05T12:10:02.919Z,2026,1,5,12,10,2,919,0.2000,0.8000,0.1900,0.2100,0.7900,0.8100,,,,
1767615002955,2026-01-05T12:10:02.955Z,2026,1,5,12,10,2,955,0.1950,0.8050,0.1800,0.2100,0.7900,0.8200,,,,
1767615003208,2026-01-05T12:10:03.208Z,2026,1,5,12,10,3,208,0.1900,0.8100,0.1800,0.2000,0.8000,0.8200,,,,
1767615003709,2026-01-05T12:10:03.709Z,2026,1,5,12,10,3,709,0.1950,0.8050,0.1800,0.2100,0.7900,0.8200,,,,
1767615004081,2026-01-05T12:10:04.081Z,2026,1,5,12,10,4,81,0.1900,0.8100,0.1800,0.2000,0.8000,0.8200,,,,
1767615004860,2026-01-05T12:10:04.860Z,2026,1,5,12,10,4,860,0.1850,0.8150,0.1800,0.1900,0.8100,0.8200,,,,
1767615007402,2026-01-05T12:10:07.402Z,2026,1,5,12,10,7,402,0.1750,0.8250,0.1600,0.1900,0.8100,0.8400,,,,
1767615007422,2026-01-05T12:10:07.422Z,2026,1,5,12,10,7,422,0.1700,0.8300,0.1600,0.1800,0.8200,0.8400,,,,
1767615007429,2026-01-05T12:10:07.429Z,2026,1,5,12,10,7,429,0.1650,0.8350,0.1500,0.1800,0.8200,0.8500,,,,
1767615008524,2026-01-05T12:10:08.524Z,2026,1,5,12,10,8,524,0.1600,0.8400,0.1500,0.1700,0.8300,0.8500,,,,
1767615012327,2026-01-05T12:10:12.327Z,2026,1,5,12,10,12,327,0.1650,0.8350,0.1600,0.1700,0.8300,0.8400,,,,
1767615012738,2026-01-05T12:10:12.738Z,2026,1,5,12,10,12,738,0.1800,0.8200,0.1600,0.2000,0.8000,0.8400,,,,
1767615012764,2026-01-05T12:10:12.764Z,2026,1,5,12,10,12,764,0.1850,0.8150,0.1700,0.2000,0.8000,0.8300,,,,
1767615012770,2026-01-05T12:10:12.770Z,2026,1,5,12,10,12,770,0.1900,0.8100,0.1800,0.2000,0.8000,0.8200,,,,
1767615012881,2026-01-05T12:10:12.881Z,2026,1,5,12,10,12,881,0.1950,0.8050,0.1800,0.2100,0.7900,0.8200,,,,
1767615012994,2026-01-05T12:10:12.994Z,2026,1,5,12,10,12,994,0.2050,0.7950,0.2000,0.2100,0.7900,0.8000,,,,
1767615016000,2026-01-05T12:10:16.000Z,2026,1,5,12,10,16,0,0.2000,0.8000,0.1900,0.2100,0.7900,0.8100,,,,
1767615016039,2026-01-05T12:10:16.039Z,2026,1,5,12,10,16,39,0.1850,0.8150,0.1800,0.1900,0.8100,0.8200,,,,
1767615016642,2026-01-05T12:10:16.642Z,2026,1,5,12,10,16,642,0.2000,0.8000,0.1900,0.2100,0.7900,0.8100,,,,
1767615016702,2026-01-05T12:10:16.702Z,2026,1,5,12,10,16,702,0.1950,0.8050,0.1800,0.2100,0.7900,0.8200,,,,
