Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Market Key,Market Name,Condition ID,Invested Up ($),Invested Down ($),Total Invested ($),Shares Up,Shares Down,Final Price Up ($),Final Price Down ($),Final Value Up ($),Final Value Down ($),Total Final Value ($),PnL Up ($),PnL Down ($),Total PnL ($),PnL Percent (%),Average Cost Per Share UP ($),Average Cost Per Share DOWN ($),Trades Up,Trades Down,Outcome,Market Switch Reason,Market Slug
1767618000867,2026-01-05T13:00:00.867Z,2026,1,5,13,0,0,867,BTC-UpDown-1h-7,"Bitcoin Up or Down - January 5, 7AM ET",0x917be704b6b0e1fae3924cead6919200bab388b21af7fd030653bf277a54726c,75.84,173.16,249.00,5158.4100,201.4600,0.0010,0.9995,5.16,201.36,206.52,-70.68,28.20,-42.48,-17.06,0.0147,0.8595,416,411,UP Lost,Market Closed,bitcoin-up-or-down-january-5-7am-et
1767618000995,2026-01-05T13:00:00.995Z,2026,1,5,13,0,0,995,ETH-UpDown-1h-7,"Ethereum Up or Down - January 5, 7AM ET",0x04f5d7dbf0e0b7963171d4e7bec90dbebf543135f763ae1a76ade4095ebd6398,62.84,143.56,206.40,9276.0200,169.5900,0.0010,0.9995,9.28,169.51,178.78,-53.56,25.94,-27.62,-13.38,0.0068,0.8465,334,328,UP Lost,Market Closed,ethereum-up-or-down-january-5-7am-et
1767618006144,2026-01-05T13:00:06.144Z,2026,1,5,13,0,6,144,BTC-UpDown-1h-7,"Bitcoin Up or Down - January 5, 7AM ET (Snapshot at new market: Ethereum Up or Down - January 5, 7AM ET)",0x917be704b6b0e1fae3924cead6919200bab388b21af7fd030653bf277a54726c,0.06,0.14,0.20,61.1200,0.1400,0.0045,0.9955,0.28,0.14,0.41,0.21,-0.00,0.21,106.40,0.0010,0.9977,1,1,UP Lost,New Market Snapshot,
1767619205349,2026-01-05T13:20:05.349Z,2026,1,5,13,20,5,349,ETH-UpDown-1h-7,"Ethereum Up or Down - January 5, 7AM ET (Snapshot at new market: Bitcoin Up or Down - January 5, 8AM ET)",0x04f5d7dbf0e0b7963171d4e7bec90dbebf543135f763ae1a76ade4095ebd6398,0.12,0.28,0.40,122.2400,0.2800,0.0010,0.9995,0.12,0.28,0.40,-0.00,0.00,0.00,0.01,0.0010,0.9994,2,2,UP Lost,New Market Snapshot,
1767619205394,2026-01-05T13:20:05.394Z,2026,1,5,13,20,5,394,BTC-UpDown-15,"Bitcoin Up or Down - January 5, 8:30AM-8:45AM ET (Snapshot at new market: Bitcoin Up or Down - January 5, 8AM ET)",0xd16d4d7e74e042d8b4d0b6b9edc901f98bbf834217e0b8185935088ccf205af7,98.05,185.20,283.26,235.8300,299.1400,0.4750,0.5250,112.02,157.05,269.07,13.97,-28.16,-14.19,-5.01,0.4158,0.6191,19,19,Loss,New Market Snapshot,btc-updown-15m-1767619800
1767619205427,2026-01-05T13:20:05.427Z,2026,1,5,13,20,5,427,ETH-UpDown-15,"Ethereum Up or Down - January 5, 8:30AM-8:45AM ET (Snapshot at new market: Bitcoin Up or Down - January 5, 8AM ET)",0xe42ea031cd4a49eec1c3e9de6ee96a97ee18b333783a023e153406ef584b7e1c,96.70,212.58,309.27,280.4000,325.3400,0.4550,0.5450,127.58,177.31,304.89,30.88,-35.27,-4.38,-1.42,0.3449,0.6534,44,44,Loss,New Market Snapshot,eth-updown-15m-1767619800
1767619205573,2026-01-05T13:20:05.573Z,2026,1,5,13,20,5,573,BTC-UpDown-15,"Bitcoin Up or Down - January 5, 8:30AM-8:45AM ET (Snapshot at new market: Ethereum Up or Down - January 5, 8AM ET)",0xd16d4d7e74e042d8b4d0b6b9edc901f98bbf834217e0b8185935088ccf205af7,98.05,185.20,283.26,235.8300,299.1400,0.4750,0.5250,112.02,157.05,269.07,13.97,-28.16,-14.19,-5.01,0.4158,0.6191,19,19,Loss,New Market Snapshot,btc-updown-15m-1767619800
1767619205600,2026-01-05T13:20:05.600Z,2026,1,5,13,20,5,600,ETH-UpDown-15,"Ethereum Up or Down - January 5, 8:30AM-8:45AM ET (Snapshot at new market: Ethereum Up or Down - January 5, 8AM ET)",0xe42ea031cd4a49eec1c3e9de6ee96a97ee18b333783a023e153406ef584b7e1c,96.70,212.58,309.27,280.4000,325.3400,0.4550,0.5450,127.58,177.31,304.89,30.88,-35.27,-4.38,-1.42,0.3449,0.6534,44,44,Loss,New Market Snapshot,eth-updown-15m-1767619800
1767619205675,2026-01-05T13:20:05.675Z,2026,1,5,13,20,5,675,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 5, 8AM ET (Snapshot at new market: Ethereum Up or Down - January 5, 8AM ET)",0xd908bda15fbf8a37e7d06e66286d5ca382b7b490d34b6c89e6313df74fe89111,4.01,15.16,19.17,10.1300,25.0200,0.6750,0.3250,6.84,8.13,14.97,2.83,-7.03,-4.20,-21.93,0.3958,0.6061,1,1,Loss,New Market Snapshot,bitcoin-up-or-down-january-5-8am-et
1767621601320,2026-01-05T14:00:01.320Z,2026,1,5,14,0,1,320,BTC-UpDown-1h-8,"Bitcoin Up or Down - January 5, 8AM ET",0xd908bda15fbf8a37e7d06e66286d5ca382b7b490d34b6c89e6313df74fe89111,118.62,209.14,327.76,331.6900,322.1800,0.0055,0.9945,1.82,320.41,322.23,-116.79,111.26,-5.53,-1.69,0.3576,0.6492,40,39,UP Lost,Market Closed,bitcoin-up-or-down-january-5-8am-et
1767621601323,2026-01-05T14:00:01.323Z,2026,1,5,14,0,1,323,ETH-UpDown-1h-8,"Ethereum Up or Down - January 5, 8AM ET",0xf26119b171a1394c2bfa5ec4b1e5ae1f6517eaece1ce4bd606f1270f49a4e913,19.13,41.96,61.09,102.8000,51.7800,0.0055,0.9945,0.57,51.50,52.06,-18.57,9.54,-9.03,-14.78,0.1861,0.8103,41,31,UP Lost,Market Closed,ethereum-up-or-down-january-5-8am-et
